,User,Influence_Score
706,shavante17,0
707,shayarshaab786,0
708,shockofthequeen,0
709,sills_aj,0
710,simonealexaa,0
711,sirokoma711,0
712,skullak85,0
713,smarktodeath,0
714,snuffleplatypus,0
715,sonkima,0
716,sorgatronmedia,0
717,soulfulNduka,0
718,spartanRe3ivaj,0
719,spongekys,0
720,stevenamoney,0
721,stonecoldage,0
722,styles4champ,0
723,sudeepkhatri,0
724,superkickingit,0
725,suttonkenney,0
726,swtlvlyg,0
727,t1psey,0
728,tessandscotty,0
729,theCHAIRSHOTcom,38680
730,thebrainbusters,4086
731,thegreatgft,0
732,thiagoK80,0
733,tigerhite,0
734,timjnr,0
735,tombadasss,0
736,tomlxxx,0
737,toolegendary,0
738,trinity1only,0
739,urbansadfitters,0
740,verng90,0
741,vivienne6741vq,0
742,vreezyseason,0
743,wahalan,0
744,weather_jeff,33
745,whitejackeevis1,0
746,worawutin,0
747,wrestleacademic,0
748,wrestlemaniacos,0
749,wrestling2_0,0
750,wrestling_ac,22965
751,wrestlinpussy,0
752,wwe_jade_,0
753,wwecharlottefc,0
754,wwelivenetworks,0
755,wxsted_vapors,0
756,xDeathsTouch,0
757,y2j_fauzan,0
758,yailinofficial,0
759,yasu1600rekishi,0
760,ylenia_crystal,0
761,zaineller,0
